Age,Credit_Score,Loan_Type,Gender,Marital_Status,Annual_Income_INR,Loan_Term_Months,Loan_Approved
56,836,business,other,single,2520692,42,1
46,367,education,female,married,2164475,166,0
32,872,business,female,divorced,2201029,100,1
60,840,business,other,divorced,708544,179,1
25,682,personal,male,divorced,1877148,66,1
38,318,vehicle,male,single,1180394,174,0
56,749,home,other,single,855244,23,1
36,373,business,female,married,2245707,235,0
40,872,personal,female,single,1065684,116,1
28,575,personal,female,divorced,1533774,100,0
28,347,vehicle,female,divorced,622126,21,0
41,510,vehicle,other,divorced,472072,109,0
53,839,vehicle,female,single,1175196,184,0
57,490,home,other,divorced,483382,170,0
41,614,personal,male,married,1471259,19,0
20,862,education,other,single,183335,108,0
39,861,home,female,divorced,147285,73,0
19,412,gold,male,divorced,2641603,35,0
41,469,business,other,single,2870131,65,0
61,767,vehicle,other,single,2059859,58,0
47,313,personal,other,married,2800187,230,0
55,587,business,male,single,2218321,169,0
19,488,home,other,divorced,2489669,163,0
38,454,gold,female,married,1728141,69,0
50,866,home,male,divorced,2662538,19,1
29,770,home,male,divorced,679408,28,1
39,374,education,other,divorced,428520,181,0
61,576,business,female,single,678523,161,0
42,642,education,male,single,1576021,127,0
44,724,home,other,divorced,2021862,12,1
59,870,gold,female,single,1688269,175,1
45,810,personal,other,divorced,213307,15,0
33,481,personal,other,single,2561072,201,0
32,757,business,male,single,2868359,177,1
64,363,vehicle,male,single,2744987,107,0
61,559,vehicle,other,married,2728015,18,0
20,492,personal,male,single,2030667,218,0
54,705,home,male,married,1284491,166,1
24,392,home,female,married,324059,237,0
38,729,education,female,married,2998436,225,0
26,733,business,other,divorced,2180708,220,0
56,703,education,other,single,2337381,165,1
35,733,vehicle,other,divorced,1236518,132,1
21,411,personal,other,married,2576022,53,0
42,674,home,female,single,868180,10,1
31,358,personal,male,divorced,997168,66,0
26,342,gold,female,married,1396186,127,0
43,506,personal,other,divorced,1221544,95,0
19,595,gold,other,divorced,354686,108,0
37,417,education,female,single,180684,95,0
45,831,education,female,single,2839144,8,1
64,521,vehicle,other,divorced,1115631,29,0
24,465,personal,male,single,2867331,122,0
61,455,personal,other,single,565377,103,0
25,483,gold,female,divorced,1163250,167,0
64,389,education,other,single,2807363,89,0
52,393,gold,other,single,2609065,124,0
31,312,education,male,married,991751,227,0
34,737,gold,other,single,1637411,47,1
53,837,education,other,married,1254662,153,1
57,886,gold,other,divorced,2759422,46,1
21,449,education,female,married,2582605,87,0
19,307,business,female,divorced,1668468,107,0
23,328,gold,male,single,891588,153,0
59,595,personal,other,single,2759720,11,0
21,639,vehicle,female,married,2796764,127,0
46,738,business,male,divorced,2257858,190,0
35,443,business,other,single,2932233,175,0
43,818,gold,male,married,2412494,30,1
61,344,vehicle,male,married,2338195,46,0
51,538,personal,male,married,1070644,174,0
27,454,business,male,single,667696,8,0
53,480,personal,male,divorced,2380246,113,0
31,514,education,male,single,1286135,176,0
48,387,vehicle,male,single,348670,179,0
32,555,home,other,divorced,1169573,62,0
25,810,education,other,married,1981464,88,1
31,372,vehicle,male,single,1148482,79,0
40,478,gold,other,married,2012996,184,0
57,511,gold,male,married,2802348,138,0
38,533,personal,other,divorced,2125496,91,0
33,764,business,female,divorced,1654041,206,0
62,522,home,male,divorced,1569986,102,0
35,563,gold,female,married,264857,20,0
64,506,vehicle,male,married,1382642,93,0
41,665,business,male,single,2780116,99,1
43,575,business,female,married,1142867,131,0
42,679,vehicle,female,divorced,2729813,105,1
62,608,business,female,divorced,2358507,44,0
58,567,gold,male,divorced,2384135,203,0
46,363,vehicle,female,divorced,1243527,84,0
32,649,vehicle,female,married,1003571,171,0
62,793,personal,other,divorced,1284348,44,0
18,822,home,other,single,557359,57,0
42,397,personal,female,married,1501094,219,0
24,370,home,female,divorced,1564389,136,0
26,663,vehicle,female,single,2361652,162,1
41,869,business,female,divorced,1657795,226,0
18,575,home,other,married,1123189,131,0
61,349,vehicle,male,married,2888199,164,0
25,657,vehicle,female,single,1964501,71,1
41,863,personal,female,married,1273650,232,0
28,784,personal,other,single,2772664,50,1
34,383,business,female,divorced,1137634,206,0
25,883,education,female,married,393996,27,1
52,595,gold,other,divorced,1945940,88,0
52,535,education,female,divorced,2457498,234,0
50,355,education,female,married,974977,143,0
22,659,business,other,divorced,1081706,154,1
59,409,home,male,single,1399113,22,0
56,491,business,female,single,392009,72,0
58,392,business,female,single,1291937,12,0
